Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Mouse eared bat,Myotis myotis
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Nathusius's pipistrelle,Pipistrellus nathusii
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Natterer's bat,Myotis nattereri
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Pond bat,Myotis dasycneme
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Serotine,Eptesicus serotinus
Hazeleger et al.,2018,yes,Google Scholar,Netherlands,no,Europe,"microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination",Conventional,10-100 CFU/swab,NA,,>=0.1 g swab,,Mammal,,,,Whiskered bat,Myotis mystacinus
Hellein et al.,2011,yes,Google Scholar,"USA, Florida, Pensacola",yes,North America,qPCR,Molecular,NA,NA,,0.25-0.3 g,,Mammal,,,,Cat,
Hellein et al.,2011,yes,Google Scholar,"USA, Florida, Pensacola",yes,North America,qPCR,Molecular,NA,NA,,0.25-0.3 g,,Avian,,Gull,,,
Hsu et al.,2015,yes,Google Scholar,"USA, Ohio, Columbus, Olentangy River Wetland Research Park",yes,North America,qPCR (CampyF/CampyR/CampyP 287 bp),Molecular,50 cycles (<21 gene copies/ml),NA,,NA,,Avian,,,,Canada goose,Branta canadensis
Kinzleman et al.,2008,yes,Web of Science,"USA, Racine, Wisconsin 2006",yes,North America,Culture and Plate,Conventional,NA,NA,,NA,,Avian,,Gull,,,
Kinzleman et al.,2008,yes,Web of Science,"USA, Racine, Wisconsin, 2004",yes,North America,Culture and Plate,Conventional,45% recovery,NA,,NA,,Avian,,Gull,,,
Kinzleman et al.,2008,yes,Web of Science,"USA, Racine, Wisconsin, 2005",yes,North America,Culture and Plate,Conventional,NA,NA,,NA,,Avian,,Gull,,,
Kinzleman et al.,2008,yes,Web of Science,"USA, Racine, Wisconsin 2005",yes,North America,"Culture and Plate, Agglutination tests",Immunologic,NA,NA,,NA,,Avian,,Gull,,,
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
