"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Mammal","Diprotodontia","Macropodidae","Wallabia","Swamp wallaby","Wallabia bicolor","","free","Giardia"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Aythya","Tufted duck","Aythya fuligula","","free","Giardia ssp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Accipitriformes","Cathartidae","Cathartes","Turkey vulture","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Mammal","Didelphimorphia","Didelphidae","Didelphis","Virginia opossum","","","free","Giardia spp"
"Oates et al. ",2012,"yes","Web of Science","USA, Monteray Bay, California","yes","North America","Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (GDHeF, GDHiR, 432 bp, G7, G759, 171 bp)","Conventional","0.2",NA,"oocyst/g","5g","Animal","Mammal","Didelphimorphia","Didelphidae","Didelphis","Virginia opossum","Didelphis virginiana","","free","Giardia"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Gruiformes","Rallidae","Rallus","Virginia rail","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Podicipedidae","Aechmophorus","Aechmophoru","Western grebe","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Charadriiformes","Laridae","Larus","Western gull","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Strigidae","Striginae","Megascops","Western screech owl","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Passeriformes","Corvidae","Aphelocoma","Western scrub jay","","","free","Giardia spp"
"Lohmus et al.",2013,"yes","Google Scholar","Sweden, Uppsala, rural dwellings","no","Europe","immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)","Conventional",NA,NA,"","1 g","Animal","Mammal","Rodentia","Muridae","Apodemus","Wood mouse","Apodemus sylvaticus","","free","Giardia sp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Charadriiformes","Laridae","Larus","Yellow legged gull","Larus michahellis","","free","Giardia spp."
"Lohmus et al.",2013,"yes","Google Scholar","Sweden, Uppsala, rural dwellings","no","Europe","immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)","Conventional",NA,NA,"","1 g","Animal","Mammal","Rodentia","Muridae","Apodemus","Yellow-necked mouse","Apodemus flavicollis","","free","Giardia sp."
