"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Lowenstein et al.",2020,"yes","Web of Science","Ecuador, Yaruqui, Quito","no","South America","ELISA","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia"
"McGlade et al.",2003,"yes","review","Australia, Perth","no","Western Pacific","PCR (RH11, RH4, 130 bp)","Molecular",NA,NA,"","2g","Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia spp."
"Queen et al.",2012,"yes","review","USA, California, Northern California, Davis Vetrinary Hospital","yes","North America","ELISA, Manufacture instruction, spectrophotometric, 450 nm","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia"
"Queen et al.",2012,"yes","review","USA, California, Northern California, Davis Vetrinary Hospital","yes","North America","ELISA, Manufacture instruction, spectrophotometric, 450 nm","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia"
"Sabshin et al. ",2012,"yes","review","USA, Florida, Alachua County","yes","North America","PCR (DQ836339), ELISA","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","free","Giardia spp"
"Sabshin et al. ",2012,"yes","review","USA, Florida, Alachua County","yes","North America","PCR (DQ836339), ELISA","Immunologic","95-99% recovery",NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","free","Giardia spp"
"Santin et al. ",2006,"yes","review","Colombia, Bogota","no","South America","PCR (SSU-rDNA, 292 bp), filtration, centrifuge","Molecular",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia duodenalis "
"Spain et al.",2001,"yes","review","USA, New York, Central","yes","North America","ELISA, microscope, flotation","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic","Giardia sp."
"Spain et al.",2001,"yes","review","USA, New York, Central","yes","North America","ELISA, microscope, flotation","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","free (animal shelter)","Giardia sp."
"Spain et al.",2001,"yes","review","USA, New York, Central","yes","North America","ELISA, microscope, flotation","Immunologic",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","domestic and free (animal shelter)","Giardia sp."
