"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Pipistrellus","Common pipistrelle","Pipistrellus pipistrellus"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Myotis","Daubenton's bat","Myotis daubentonii"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Myotis","Geoffroy's bat","Myotis emarginatus"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab",NA,"Mammal","","","","Grey long eared bat","Plecotus austriacus"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Myotis","Mouse eared bat","Myotis myotis"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab",NA,"Mammal","","","","Nathusius's pipistrelle","Pipistrellus nathusii"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Myotis","Natterer's bat","Myotis nattereri"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab",NA,"Mammal","","","","Pond bat","Myotis dasycneme"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Eptesicus","Serotine","Eptesicus serotinus"
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","microscope, plate and broth culture confirm by PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), latex agglutination","Conventional","10-100 CFU/swab",NA,NA,">=0.1 g swab",NA,"Mammal","","","","Whiskered bat","Myotis mystacinus"
