"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen name original,Pathogen rename,Pathogen,medium,Presence,Enumerated,Enum Stats,Censored Data,Presence/Absence,Total,percent,Individual Sample,Mean,Geometric mean,Standard deviation,Median,Min,Max,95% low,95% high,units,Notes,Notes,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD
Conventional,NA,NA,,NA,Animal,Bird,,,,Common chaffinch,Fringilla coelebs,,free,Salmonella typhimurium DT40,Salmonella enterica subsp. enterica serovar Typhimurium str. DT51,Salmonella enterica (typhoid),"dead bird, tissue instestines and liver",yes,no,,,ND,6,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common chaffinch,Fringilla coelebs,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,16,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common chaffinch,Fringilla coelebs,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 9",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common chaffinch,Fringilla coelebs,,free,Salmonella spp.,Salmonella,Salmonella,"Tissue, dead bird",yes,no,,,2,21,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common chiffchaff,Phylloscopus collybita,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common crossbill,Loxia curvirostra,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 11",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common grackle,,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable tissue,Animal,Bird,,,,Common grackle,Quiscalus quiscula,,free,Salmonella,Salmonella,Salmonella,organ tissue,yes,no,,,2,108,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,variable tissue,Animal,Bird,,,,Common grackle,Quiscalus quiscula,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),organ tissue,yes,no,,,2,108,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common grasshopper warbler,Locustella naevia,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common ground dove,,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,5,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common house martin,Delichon urbica,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Mammal,,,,Common house martin,Delichon urbica,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,9,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Mammal,,,,Common house martin,Delichon urbica,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,14,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,3 g,Animal,Bird,,,,Common kestrel,Falcoÿtinnunculus,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common kestrel,Falco tinnunculus,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common kestrel,Falco tinnunculus,,captive,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,3,41,,,,,,,,,,,,Serotype data only exists for captive birds,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common kestrel,Falco tinnunculus,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,44,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common kingfisher,Alcedo atthis,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common linnet,Carduelis cannabina,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common linnet,Acanthis cannabina,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common loon,Gavia immer,,"originally free, in clinic for treatment",Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common moorhen,Gallinula chloropus ,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Molecular,NA,NA,,NA,Animal,Bird,,,,Common murre,Uria aalge,,free,"Salmonella enterica Typhimurium O:4,12","Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,0",Salmonella enterica (typhoid),"Salmonella enterica isolates, dead birds",yes,no,,,1,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,Common murre,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,31,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common murre,Uria aalge,,"originally free, in clinic for treatment",Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,14,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,>=0.1 g swab,Animal,Mammal,,,,Common noctule,Nyctalus noctula,,free,Salmonella,Salmonella,Salmonella,feces and rectal swab,yes,no,,,ND,13,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common pheasant,Phasianus colchicus,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common pheasant,Phasianus colchicus,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,4,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,>=0.1 g swab,Animal,Mammal,,,,Common pipistrelle,Pipistrellus pipistrellus,,free,Salmonella,Salmonella,Salmonella,feces and rectal swab,yes,no,,,ND,102,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,1,49,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,2,375,0.0053,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,9,286,0.0315,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella Infantis ,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),feces,yes,no,,,4,286,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella senflenberg,Salmonella enterica subsp. enterica serovar Senftenberg,Salmonella enterica (non-typhoid),feces,yes,no,,,2,286,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),feces,yes,no,,,2,375,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella enteritidis,Salmonella entericaÿsubsp.ÿentericaÿserovar Enteritidis,Salmonella enterica (non-typhoid),feces,yes,no,,,1,49,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella enteritidis,Salmonella entericaÿsubsp.ÿentericaÿserovar Enteritidis,Salmonella enterica (non-typhoid),feces,yes,no,,,3,286,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common raven,,,free,Salmonella,Salmonella,Salmonella,rectal swab,yes,no,,,1,4,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common raven,Corvus corax,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,1,4,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common redpoll,Carduelis flammea,,free,Salmonella spp.,Salmonella,Salmonella,"Tissue, dead bird",yes,no,,,32,41,,,,,,,,,,,,,,,,,,,,,
Molecular,NA,NA,,NA,Animal,Bird,,,,Common redpoll,Carduelis Flammea,,free,"Salmonella enterica Typhimurium O:4,12","Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,2",Salmonella enterica (typhoid),"Salmonella enterica isolates, dead birds",yes,no,,,2,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common redpoll ,Acanthis flammea,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,14,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,swab,Animal,Bird,,,,Common redpoll ,Carduelis flammea,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 20",Salmonella enterica (typhoid),cloacal swab,yes,no,,,12,348,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Common redpoll ,Carduelis flammea,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 38",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,26,31,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common redstart ,Phoenicurus phoenicurus ,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,4,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Common redstart ,Phoenicurus phoenicurus,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common reed bunting,Emberiza schoeniclus,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,6,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Common reed bunting,Emberiza schoeniclus,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,5,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common reed bunting,Emberiza schoeniclu,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,5,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Common rosefinch,Carpodacus erythrinus,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,3 g,Animal,Bird,,,,common shelduck,Tadorna tadorna,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common tern ,Sterna hirundo,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,7,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Common tern ,Sterna hirundo,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,36,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Common whitethroat,Sylvia communis,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Common whitethroat,Sylvia communis,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,8,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common whitethroat,Sylvia communis,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,4,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,3 g,Animal,Bird,,,,Common wood pigeon,Columba palumbus,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,dead bird,Animal,Bird,,,,Common wood pigeon,Columba palumbus,,free,Salmonella spp.,Salmonella,Salmonella,"Tissue (liver, small intestines, crop, esophagus, lesions) , dead bird",yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common wood pigeon,Columba palumbu,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common yellowthroat,,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Common yellowthroat,Geothlypi strichas,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,3,,,,,,,,,,,,"Birds broken down by weather at a commercial ranch, or National wildife reserve",,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common yellowthroat,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Common-ground dove,Columbina passerina,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,4,,,,,,,,,,,,also did study on survival of pathogens in feces,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,Cormorant,,Phalacrocorax spp.,Cormorant (genus),free,Salmonella spp.,Salmonella,Salmonella,"intestines tissue, intestines content",yes,no,,,2,9,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,Cormorant,,Phalacrocorax spp.,Cormorant (genus),free,Salmonella bovis-morbificans,Salmonella enterica subsp. enterica serovar Bovis-morbifican,Salmonella enterica (non-typhoid),"intestines tissue, intestines content",yes,no,,,1,9,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,Cormorant,,Phalacrocorax spp.,Cormorant (genus),free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines tissue, intestines content",yes,no,,,1,9,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,Corvus,,"Corvus brachyrhynchos, Corvus frugilegus, Corvus corax","North American crows, rooks, common ravens",free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,39,2778,0.014,,,,,,,,,,,,,,,,,,,,
Conventional,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella spp.,Salmonella,Salmonella,"intestines content, trapped and killed birds",yes,no,,,3,95,0.032,,,,,,,,,,,,,,,,,,,,
Immunologic,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella untyped,Salmonella,Salmonella,"intestines content, trapped and killed birds",yes,no,,,ND,95,,,,,,,,,,,,,,,,,,,,,
Immunologic,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella meleagridis,Salmonella enterica subsp. enterica serovar Meleagridis   ,Salmonella enterica (non-typhoid),"intestines content, trapped and killed birds",yes,no,,,2,95,,,,,,,,,,,,,,,,,,,,,
Immunologic,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,95,,,,,,,,,,,,,,,,,,,,,
Immunologic,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella muenster,Salmonella enterica subsp. enterica serovar Muenster   ,Salmonella enterica (non-typhoid),"intestines content, trapped and killed birds",yes,no,,,1,95,,,,,,,,,,,,,,,,,,,,,
Immunologic,1 colony,NA,,NA,Animal,Bird,,,Cowbird,,,Cowbird (genus),free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,95,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,0.1 g,Animal,Bird,,,Cranes,,"Gusmonacha, Gusmonacha vipio, Gusmonacha grus, Gusmonacha leucogeranus, Anthropoides virgo, Gusmonacha canadensis","Hooded, White-naped, Common, Siberian White, Demoiselle, Sandhill",free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,29,420,,,,,,,,,,,,Also broken down by year and month,,,,,,,,,
Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,,Cricetidae ,,,"Cricetidae (including  Peromyscus boylii, Peromyscus manicultus, Reithrodontomys megalotis, Microtus californicus, Peromyscus californicus, and Neotoma fuscipes)",Cricetidae (family),free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,28,890,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Dark-eyed junco,Junco hyemalis,,free,Salmonella spp.,Salmonella,Salmonella,"feces, cloacal swabs",yes,no,,,ND,40,ND,,,,,,,,,,,Other species measured but less than 3 samples per species.  Also broken down by bacterial species but not connected to animal.,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Dark-eyed junco,Junco hyemalis,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,20,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<=1g,Animal,Bird,,,,Dark-eyed junco,Junco hyemalis,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,>=0.1 g swab,Animal,Mammal,,,,Daubenton's bat,Myotis daubentonii,,free,Salmonella,Salmonella,Salmonella,feces and rectal swab,yes,no,,,ND,179,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Mammal,,,,Deer mouse,Peromyscus maniculatus,,free,Salmonella enterica,Salmonella enterica,Salmonella enterica (non-typhoid),feces,yes,no,,,ND,9,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,,,,Deer mouse,Peromyscus manicultus,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,25,747,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Reptile,,,,Diamond python,Morelia spilota spilota,,free,Salmonella ,Salmonella,Salmonella,cloacal swab,yes,no,,,1,1,,,,,,,,,,,,Has Salmonella Enterica Servoars but they are in a weird format.,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,Double-crested cormorant,Phalacrocorax auritus,,free,Salmonella typhimurium copenhagen,Salmonella enterica subsp. enterica serovar Typhimurium var. Copenhagen ,Salmonella enterica (typhoid),dead bird tissue (liver),yes,no,,,20,72,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Downy woodpecker,Picoides pubescens,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,1,,,,,,,,,,,,"Birds broken down by weather at a commercial ranch, or National wildife reserve",,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Downy woodpecker,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,,Drymeia,,Muscidae Drymeia sp.,Drymeia (genus),free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,1,,,1,,,,1,1,,,flies/pool,1,fly,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,Anatidae,,,,Duck (family),free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,6,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,4 to 1.1*10^3 MPN/g,NA,,1-25 g,Animal,Bird,,,Duck,,,Duck (genus),free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,80,ND,,,,,,,,,,count/g wet weight.,mean based on all 80 samples,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Dunnock,Prunella modularis,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,dead bird,Animal,Bird,,,,Dunnock,Prunella modularis,,free,Salmonella spp.,Salmonella,Salmonella,"Tissue (liver, small intestines, crop, esophagus, lesions) , dead bird",yes,no,,,ND,10,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Dunnock,Prunella modularis,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,1,31,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,,Eagle,,Anthomyiid Egle sp.,Eagle (genus),free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,5,,,2.5,,,,1,4,,,flies/pool,5,fly,,,,,,,,
Conventional,NA,NA,,swab,Animal,Reptile,,,,Eastern blue-tongue lizard,Tiliqua scincoides,,free,Salmonella ,Salmonella,Salmonella,cloacal swab,yes,no,,,5,43,,,,,,,,,,,,Has Salmonella Enterica Servoars but they are in a weird format.,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Eastern imperial eagle,Aquila heliaca,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,1,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Eastern screech-owl ,Megascops asio,,free,Salmonella,Salmonella,Salmonella,feces or cloacal swab,yes,no,,,ND,15,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Reptile,,,,Eastern tiger snake,Notechis scutatus scutatus,,free,Salmonella ,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,2,,,,,,,,,,,,Has Salmonella Enterica Servoars but they are in a weird format.,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Reptile,,,,Eastern water dragon,Physignathus lesueurii lesueurii,,free,Salmonella ,Salmonella,Salmonella,cloacal swab,yes,no,,,2,8,,,,,,,,,,,,Has Salmonella Enterica Servoars but they are in a weird format.,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Eastern wood pewee,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,Empidonax,,Empidonax,Trail?s Flycatcher,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Eurasian blackcap,Sylvia atricapilla,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Eurasian blackcap,Sylvia atricapilla,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Eurasian blackcap,Sylvia atricapilla,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,11,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,swab,Animal,Bird,,,,Eurasian blackcap,Sylvia atricapilla,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 35",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Eurasian bullfinch,Pyrhhula pyrhhula,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,3,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,dead bird,Animal,Bird,,,,Eurasian bullfinch,Pyrrhula pyrrhula,,free,Salmonella spp.,Salmonella,Salmonella,"Tissue (liver, small intestines, crop, esophagus, lesions) , dead bird",yes,no,,,2,5,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Eurasian bullfinch,Pyrrhula pyrrhula,,free,Salmonella typhimurium DT40,Salmonella enterica subsp. enterica serovar Typhimurium str. DT41,Salmonella enterica (typhoid),"dead bird, tissue instestines and liver",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Eurasian bullfinch,Pyrrhula pyrrhula,,free,Salmonella typhimurium DT40,Salmonella enterica subsp. enterica serovar Typhimurium str. DT49,Salmonella enterica (typhoid),"dead bird, tissue instestines and liver",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
